name,salary_from,salary_to,salary_currency,area_name,published_at
Инсталлятор,48000.0,,RUR,Таврическое,2022-12-15T07:08:05+0300
Специалист технической поддержки,52000.0,,RUR,Екатеринбург,2022-12-15T07:18:24+0300
Аналитик отдела продаж,120000.0,,RUR,Екатеринбург,2022-12-15T07:56:47+0300
Сборщик каркасов мягкой мебели,35000.0,45000.0,RUR,Тюмень,2022-12-15T07:15:58+0300
Фоторедактор,40000.0,,RUR,Омск,2022-12-15T11:42:39+0300
Программист-стажер 1С,20000.0,,RUR,Тюмень,2022-12-15T11:51:19+0300
Слесарь-ремонтник 5-6 разряд,50000.0,,RUR,Новокузнецк,2022-12-15T11:30:23+0300
Токарь-расточник,120000.0,130000.0,RUR,Тула,2022-12-15T07:56:24+0300
Арт-директор / Креативный директор,110000.0,,RUR,Санкт-Петербург,2022-12-15T11:23:40+0300
Специалист в отдел технической защиты информации,,80000.0,RUR,Москва,2022-12-15T11:47:55+0300
Системный администратор,35000.0,45000.0,RUR,Екатеринбург,2022-12-15T05:54:50+0300
Консультант 1С:ЗУП,50000.0,80000.0,RUR,Ярославль,2022-12-15T11:33:07+0300
Инженер по программному обеспечению и информационной безопасности,120000.0,130000.0,KZT,Алматы,2022-12-15T07:15:41+0300
Главный механик,150000.0,150000.0,RUR,Сургут,2022-12-15T07:46:19+0300
Программист,70000.0,,RUR,Пенза,2022-12-15T07:51:20+0300
Ученик компьютерного мастера / Начинающий специалист / Мастер по ремонту компьютеров и ноутбуков,30000.0,80000.0,RUR,Саратов,2022-12-15T08:31:25+0300
Токарь-универсал,45000.0,,RUR,Ижевск,2022-12-15T09:46:57+0300
Ученик мастера по ремонту телефонов и планшетов,30000.0,,RUR,Томск,2022-12-15T11:40:55+0300
Оператор станков с программным управлением,40000.0,80000.0,RUR,Ясногорск,2022-12-15T09:28:38+0300
Графический дизайнер,35000.0,,RUR,Гатчина,2022-12-15T00:46:47+0300
Токарь-универсал 5 разряда,132000.0,147000.0,RUR,Барнаул,2022-12-15T07:35:42+0300
Механик автоколонны (большегрузный транспорт),,86000.0,RUR,Воронеж,2022-12-15T10:07:36+0300
ИТ-специалист,75000.0,,RUR,Южно-Сахалинск,2022-12-15T10:13:05+0300
Координатор (менеджер/руководитель проекта) по этнокультурным проектам,300000.0,350000.0,KZT,Астана,2022-12-15T07:44:33+0300
WEB разработчик,115000.0,,RUR,Москва,2022-12-15T09:17:09+0300
Гравировщик фрезерного и лазерного гравировальных станков ЧПУ,50000.0,80000.0,RUR,Москва,2022-12-15T11:11:05+0300
Андроид разработчик,700000.0,,KZT,Астана,2022-12-15T06:57:08+0300
Специалист Atlassian,1000.0,3000.0,USD,Ташкент,2022-12-15T09:47:03+0300
Менеджер по сопровождению проектов,80000.0,,RUR,Челябинск,2022-12-15T11:15:19+0300
Наладчик оборудования,62000.0,,RUR,Дедовск,2022-12-15T09:39:55+0300
Инженер-механик,,170000.0,RUR,Красноярск,2022-12-15T11:52:45+0300
Руководитель проектов,75000.0,,RUR,Поварово,2022-12-15T09:27:23+0300
Category Manager,50000.0,90000.0,KGS,Бишкек,2022-12-15T11:36:27+0300
Наладчик станков и манипуляторов с ПУ,50000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
Специалист первой линии,40000.0,40000.0,RUR,Тюмень,2022-12-15T09:09:44+0300
Копирайтер / Редактор / Оператор обработки текста и ввода данных (удаленно),,80000.0,RUR,Казань,2022-12-15T10:56:58+0300
Руководитель проектов,75000.0,,RUR,Солнечногорск,2022-12-15T09:27:23+0300
Инженер-программист микроконтроллеров,50000.0,,RUR,Казань,2022-12-15T09:25:37+0300
Механик,,73500.0,RUR,Миасс,2022-12-15T07:18:45+0300
Руководитель проектов,75000.0,,RUR,Конаково,2022-12-15T09:27:23+0300
Контент-аналитик,45000.0,45000.0,RUR,Владивосток,2022-12-15T09:44:34+0300
Инсталлятор,35000.0,,RUR,Белокуриха,2022-12-15T08:14:14+0300
Оператор станков с программным управлением,45000.0,,RUR,Конаково,2022-12-15T08:55:43+0300
Выездной инженер технической поддержки,50000.0,,RUR,Калининград,2022-12-15T10:20:23+0300
Программист-математик,90000.0,,RUR,Раменское,2022-12-15T11:16:09+0300
Редактор текстов / SMM-менеджер,600.0,700.0,BYR,Пинск,2022-12-15T11:50:46+0300
Инженер-программист,70000.0,,RUR,Пермь,2022-12-15T08:57:38+0300
Маркетолог-аналитик,50000.0,80000.0,RUR,Екатеринбург,2022-12-15T10:55:19+0300
Системный администратор,6000000.0,7000000.0,UZS,Ташкент,2022-12-15T08:03:05+0300
Руководитель сервисной службы,70000.0,,RUR,Иркутск,2022-12-15T11:01:49+0300
Администратор проекта,,80000.0,RUR,Казань,2022-12-15T11:01:48+0300
Техник,48700.0,55000.0,RUR,Санкт-Петербург,2022-12-15T10:24:44+0300
Аналитик,30000.0,35000.0,RUR,Казань,2022-12-15T10:38:41+0300
Ведущий дизайнер,100000.0,,RUR,Санкт-Петербург,2022-12-15T10:39:54+0300
Инженер поддержки Service Desk,70000.0,,RUR,Санкт-Петербург,2022-12-15T11:32:47+0300
Системный администратор,60000.0,,RUR,Тюмень,2022-12-15T09:10:07+0300
Токарь 16К20,109500.0,,RUR,Санкт-Петербург,2022-12-15T09:26:33+0300
Специалист 1 разряда отдела информационных технологий,15000.0,30000.0,RUR,Волгоград,2022-12-15T10:20:42+0300
Программист,40000.0,45000.0,RUR,Киров (Кировская область),2022-12-15T09:58:28+0300
Аналитик WMS,160000.0,,RUR,Москва,2022-12-15T10:13:14+0300
Ассистент клиент-менеджера,20000.0,,RUR,Орск,2022-12-15T09:33:56+0300
Оператор станка,40000.0,55000.0,RUR,Саратов,2022-12-15T07:53:09+0300
Инженер сервисной службы систем отопления,100000.0,,RUR,Санкт-Петербург,2022-12-15T08:38:35+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Нижний Новгород,2022-12-15T08:51:31+0300
Токарь на ДИП 300,95000.0,,RUR,Обнинск,2022-12-15T10:19:36+0300
Релиз-инженер (DevOps),60000.0,80000.0,RUR,Красноярск,2022-12-15T09:33:11+0300
Мастер-стажер / сервисный инженер по ремонту компьютеров,80000.0,,RUR,Санкт-Петербург,2022-12-15T09:13:41+0300
Оператор станка с ЧПУ,80000.0,,RUR,Краснодар,2022-12-15T09:58:07+0300
Начальник гаража,9932.0,,RUR,Яя,2022-12-15T10:44:38+0300
Механик,57557.0,57557.0,RUR,Бийск,2022-12-15T04:54:49+0300
Системный администратор,70000.0,70000.0,RUR,Краснодар,2022-12-15T09:48:22+0300
Продакт-менеджер,100000.0,,RUR,Москва,2022-12-15T11:34:16+0300
Фрезеровщик,60000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
Программист С++,100000.0,150000.0,RUR,Санкт-Петербург,2022-12-15T10:46:27+0300
Штамповщик (сектор штамповки и лазерной обработки материалов),50000.0,,RUR,Москва,2022-12-15T11:46:24+0300
Программист,40000.0,,RUR,Краснодар,2022-12-15T09:02:40+0300
Full Stack PHP Developer,120000.0,,RUR,Калининград,2022-12-15T05:48:38+0300
